,date_avr,kcal,settl,devindex,devextra,period
0,-8.0,21000,75000,0.9,0.9,archaic
1,-7.5,21250,87500,1.3,1.3,archaic
2,-7.0,21500,100000,1.7,1.7,archaic
3,-6.5,21750,112500,2.5,2.5,archaic
4,-6.0,22000,125000,3.3,3.3,archaic
5,-5.5,22500,137500,4.25,4.25,archaic
6,-5.0,23000,150000,5.2,5.2,classical
7,-4.5,23500,150000,6.35,6.35,classical
8,-4.0,24000,150000,7.5,7.5,classical
9,-3.5,25000,150000,8.25,8.25,classical
10,-3.0,26000,150000,9.0,9.0,classical
11,-2.5,26500,225000,7.95,7.95,hellenistic
12,-2.0,27000,300000,6.9,6.9,hellenistic
13,-1.5,28000,350000,5.85,5.85,hellenistic
14,-1.0,29000,400000,4.8,4.8,hellenistic
15,-0.5,30000,700000,4.69999999999999,4.69999999999999,hellenistic
16,0.0,31000,1000000,4.6,4.6,hellenistic
17,0.5,31000,1000000,,5.62,roman
18,1.0,31000,1000000,,6.46,roman
19,1.5,30500,1000000,,7.3,roman
20,2.0,30000,1000000,,6.105,roman
21,2.5,29500,900000,,4.91,roman
22,3.0,29000,800000,,4.77,roman
23,3.5,28750,800000,,4.63,roman
